TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 08:27 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
2023,2023,100.0000,2015,99.6045,8,828382,464008,56.0137

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VALOR UNIONISTA,PR,CAMBIO,AZUL,MLP,VICTORIA,VAMOS,PHG,BIEN,UR,P A N,PIN,FCN-NACION,COMITE CIVICO LA GOTA DE AGUA,PPN,FOPPA X LA CIUDAD,MI FAMILIA,CABAL,VIVA,PODEMOS,PODER,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
439,"Distrito Central",0,"Guatemala",1,35,400,16,18,68,0,5,13,0,2,8,0,2,0,0,0,0,1,2,78,1,0,4,8,4,68,298,13,5,316,0,316,--,478,162,298,316,316,Algún campo sin dato,1,cca53e1e059df6c504545163708fd012ef75bc840e814d10bdae0a236905c7c5,26/06/2023 01:15:03,ESCANER
440,"Distrito Central",0,"Guatemala",1,35,400,12,18,71,0,3,6,2,6,6,1,3,0,0,0,0,1,2,65,2,1,3,10,0,56,268,18,2,288,0,288,--,400,112,268,288,288,Algún campo sin dato,1,6f155ae70bc64774e3335643a2a2566c8806f673709473104dc622af9d2d3bc1,25/06/2023 23:24:06,ESCANER
441,"Distrito Central",0,"Guatemala",1,35,400,14,15,65,2,2,15,0,3,8,1,4,1,2,2,0,0,2,54,1,1,5,13,0,65,275,15,0,290,0,290,--,400,110,275,290,290,Algún campo sin dato,1,c61957ed57ffa88a6159c9f0596ee9628e660c78fa36178b4a0171bfc2591eb3,26/06/2023 00:26:30,ESCANER
442,"Distrito Central",0,"Guatemala",1,35,400,10,15,70,0,7,6,1,7,8,0,5,1,3,1,0,0,3,38,0,1,2,14,2,64,258,18,0,276,0,276,--,400,124,258,276,276,Algún campo sin dato,1,4ba785285acf3ccfaa43119b8be93ce7f16dfd753171d20728fa73fa12bcc60f,25/06/2023 23:13:47,ESCANER
443,"Distrito Central",0,"Guatemala",1,35,400,13,8,60,0,4,5,1,6,5,1,6,0,1,0,1,1,1,44,1,5,2,11,0,59,235,10,0,245,0,245,--,400,155,235,245,245,Algún campo sin dato,1,2bb0ca680f5fa760ff7a7443da33ff04454a59b770e0989ebea472a7bfed2d1e,25/06/2023 23:56:41,ESCANER
444,"Distrito Central",0,"Guatemala",1,35,400,9,10,61,0,4,2,4,4,5,1,7,1,2,0,0,0,2,53,0,3,1,13,0,46,228,23,0,251,0,251,--,400,149,228,251,251,Algún campo sin dato,1,4baad113b4db498626fe50c51f7dbf8a66d02727c54c183ec813d217526997f5,25/06/2023 22:00:25,ESCANER
445,"Distrito Central",0,"Guatemala",1,35,400,12,5,37,0,2,4,1,3,4,0,4,0,1,0,0,1,1,116,0,2,2,17,1,59,272,6,1,279,0,279,--,397,118,272,279,279,Algún campo sin dato,1,a414a05c7ba1100d7d3f642c04fe8b190c961255fe119748dafb6e28cb765be9,25/06/2023 22:15:28,ESCANER
446,"Distrito Central",0,"Guatemala",1,35,400,4,5,52,0,2,3,0,1,4,1,6,1,1,0,1,0,2,126,0,2,1,19,0,40,271,12,0,283,117,400,--,400,117,271,283,400,Algún campo sin dato,1,1f638ac836f982d9326de63070b787c7bd431e81ec70c137adc0001413eaece5,25/06/2023 21:34:24,ESCANER
447,"Distrito Central",0,"Guatemala",1,35,252,5,2,22,2,2,4,0,4,1,1,4,1,0,0,0,0,0,39,0,1,1,4,0,27,120,8,1,129,0,129,--,252,123,120,129,129,Algún campo sin dato,1,015f34a970d30718f644fc52e76511e2664531848598a6a59a3b955b2b1125f3,25/06/2023 20:59:32,ESCANER
448,"Distrito Central",0,"Guatemala",1,35,252,2,7,26,1,2,1,0,2,1,0,0,0,1,0,0,0,0,34,0,0,0,9,1,27,114,4,0,118,0,118,--,252,134,114,118,118,Algún campo sin dato,1,1f650b9ea0c59be06960f4d70950f0e105d274c2dd5d8fcaf9f47828f6d887de,25/06/2023 21:10:52,ESCANER
449,"Distrito Central",0,"Guatemala",1,36,400,10,18,64,1,4,8,1,4,9,0,1,0,4,2,0,4,3,35,1,0,2,11,3,70,255,20,0,275,0,275,--,400,116,255,275,275,Algún campo sin dato,1,83cf806d86727d9f8aa222e2f3f1fe5c21d3d31f9c711a69f3d2b006f0755a4c,25/06/2023 23:24:29,ESCANER
450,"Distrito Central",0,"Guatemala",1,36,400,13,16,72,2,2,5,3,9,9,2,2,2,2,0,1,1,6,36,2,0,2,7,0,68,262,19,1,262,0,282,--,398,116,262,282,282,Sumas Asentadas sin cuadrar,1,0e637eae1aae83f8b003cd8d469186411b07a4ee53840ada936b93346aa7e809,26/06/2023 06:39:50,ESCANER
451,"Distrito Central",0,"Guatemala",1,36,400,8,14,67,0,9,7,1,5,8,1,1,1,3,0,1,1,3,65,1,4,1,9,0,70,280,18,0,298,0,298,--,403,102,280,298,298,Algún campo sin dato,1,a1ed747f0dbe212a44db23e2caad0fb6d56f5fdf9bdd3c81a2c8bfe9caffa38f,26/06/2023 06:39:23,ESCANER
452,"Distrito Central",0,"Guatemala",1,36,400,10,5,54,0,5,9,1,4,6,2,5,0,1,1,0,1,8,51,1,3,0,15,2,71,255,19,2,276,0,276,--,--,--,255,276,276,Algún campo sin dato,1,ad7fcb3d5b2eb6ce446c5b45aa5d823405e3854cd31243006357b21d1e57bc13,25/06/2023 23:12:43,ESCANER
453,"Distrito Central",0,"Guatemala",1,36,400,7,11,56,0,6,10,2,3,3,1,4,2,1,0,1,1,7,74,0,3,1,10,2,73,278,14,0,292,2,294,--,400,106,278,292,294,Algún campo sin dato,1,919ceb29aea07ab6e25981654f0b8cea1cc05d19188852fd1623462271645de3,26/06/2023 06:33:28,ESCANER
454,"Distrito Central",0,"Guatemala",1,36,400,13,14,45,3,6,7,2,4,9,2,2,0,1,0,1,1,5,66,1,3,4,9,0,63,261,13,0,274,0,274,--,400,126,261,274,274,Algún campo sin dato,1,bd3d2a9e012863840cfc4d131ee4d34ecd90ecde0a04debdd8248447af0fa764,26/06/2023 04:40:57,ESCANER
455,"Distrito Central",0,"Guatemala",1,36,400,11,14,58,0,0,6,2,1,9,2,6,2,2,0,0,0,4,63,0,4,3,13,0,65,265,20,1,286,0,286,--,400,114,265,286,286,Algún campo sin dato,1,e4a83c7f9fb9efe56af697c842b23fc4500adf177b24070d1679e1752a0e16a5,26/06/2023 04:02:25,ESCANER
456,"Distrito Central",0,"Guatemala",1,36,400,8,14,62,2,4,7,4,3,8,0,4,2,4,0,0,1,5,52,2,2,2,9,0,78,273,11,0,284,116,400,--,400,116,273,284,400,Algún campo sin dato,1,322ae54646fc9fd9eedd6ea7af9d9b1c86254dd22f2eb95bc57e84b8db469789,26/06/2023 00:58:55,ESCANER
457,"Distrito Central",0,"Guatemala",1,37,400,19,19,61,0,3,8,1,4,6,1,2,2,0,1,0,0,2,57,1,6,2,11,1,58,257,25,1,283,0,283,--,400,117,265,291,291,Sumas Asentadas sin cuadrar,1,a33b83b7bf33bc8198be55740d7c29c0a968fdb074b0b58071165f1d342cc20b,26/06/2023 00:16:43,ESCANER
458,"Distrito Central",0,"Guatemala",1,37,400,9,15,46,2,3,5,1,4,3,0,5,0,4,1,1,1,10,54,0,1,2,6,0,65,238,21,1,260,0,260,--,402,142,238,260,260,Algún campo sin dato,1,18a00f012d6a941963de9ff8c29be21fb3df1c2b0b3860143286ac5eb214ef75,25/06/2023 23:20:47,ESCANER
459,"Distrito Central",0,"Guatemala",1,37,400,17,8,42,0,8,4,3,4,3,0,2,0,1,0,1,4,7,61,0,0,5,9,0,57,236,15,0,251,0,251,--,400,149,236,251,251,Algún campo sin dato,1,4ae8e9087e6860c74b2d0d6a0e78d0484eb16ab41918a1ada8fbe257afef582b,26/06/2023 00:16:05,ESCANER
460,"Distrito Central",0,"Guatemala",1,37,350,4,11,30,0,5,2,0,4,0,0,4,0,0,1,1,0,4,86,0,2,2,12,1,60,229,5,1,235,0,235,--,350,115,229,235,235,Algún campo sin dato,1,eb2181002280c13eabd79c69a2d06d6d8527776384ddf87e9baa31aae762bd55,25/06/2023 23:49:46,ESCANER
461,"Distrito Central",0,"Guatemala",1,37,350,8,10,33,2,5,4,0,1,2,0,4,1,1,0,0,1,3,56,0,0,1,8,1,32,173,11,0,184,0,184,--,--,--,173,184,184,Algún campo sin dato,1,2510d3006273e06faff9d7cdc7b5bc4947bf7b04ee8a274164ad30c8a2eab71c,25/06/2023 23:37:31,ESCANER
462,"Distrito Central",0,"Guatemala",1,38,400,5,14,69,1,3,8,1,4,4,0,2,2,0,0,0,0,1,42,4,2,4,9,1,54,230,27,0,257,0,257,--,400,143,230,257,257,Algún campo sin dato,1,05b05be42ddb754af6f78ae81c36b9863bfe98a4bbdd4382a56f950479c803cb,25/06/2023 22:10:14,ESCANER
463,"Distrito Central",0,"Guatemala",1,38,400,6,23,69,0,3,6,0,4,5,3,2,1,1,2,2,3,5,27,0,4,3,6,0,58,235,20,0,255,0,255,--,400,145,233,253,253,Sumas Asentadas sin cuadrar,1,4e53ca4abb17b277bd77f74cc1e3eb15b1b239f256a77b75d2e542b617f8daaa,25/06/2023 22:54:05,ESCANER
464,"Distrito Central",0,"Guatemala",1,38,400,7,22,63,0,5,9,0,5,7,0,4,2,2,1,0,1,3,37,0,2,3,11,1,67,252,19,1,272,0,272,--,400,128,252,272,272,Algún campo sin dato,1,02c08963fa4302c16d79226bca0aec542486268e1692579458f34016454c0579,25/06/2023 22:18:24,ESCANER
465,"Distrito Central",0,"Guatemala",1,38,400,19,16,60,2,5,2,1,11,5,0,3,0,5,1,1,0,2,42,2,3,5,15,0,49,249,16,1,266,0,266,--,400,134,249,266,266,Algún campo sin dato,1,362dd53efea760be9572f7da9e109233759f2c1387480bb608f4bcb297c2f735,25/06/2023 23:15:34,ESCANER
466,"Distrito Central",0,"Guatemala",1,38,400,8,19,50,1,7,7,0,7,11,0,5,1,1,1,1,1,5,36,1,1,3,13,1,61,241,17,0,258,0,258,--,400,142,241,258,258,Algún campo sin dato,1,b6027be9e51421e63c91e14ffa4f3b3459445a12fbd4217855a682a85fcd388a,25/06/2023 22:15:37,ESCANER
467,"Distrito Central",0,"Guatemala",1,38,400,12,18,50,1,4,8,1,6,9,1,2,0,1,0,1,1,3,32,1,4,5,10,1,58,229,15,2,246,0,246,--,400,154,229,246,246,Algún campo sin dato,1,69b0fa6dcfdc85a79d66265296a1e70cd00b6c709d1cbd1ee275903d901d33df,25/06/2023 21:47:58,ESCANER
468,"Distrito Central",0,"Guatemala",1,38,400,13,17,69,0,3,5,1,2,8,1,0,0,4,1,1,0,7,38,3,3,3,17,1,61,258,15,0,273,0,273,--,400,127,258,273,273,Algún campo sin dato,1,4220ba74fb4fff0c11081de5a7a3f0c6930502257f2264e77c6d0a8d55e9142c,25/06/2023 23:12:48,ESCANER
469,"Distrito Central",0,"Guatemala",1,38,400,9,20,64,2,5,5,2,3,8,2,5,1,0,2,1,2,4,31,3,4,2,12,1,58,246,16,1,263,0,263,--,400,137,246,263,263,Algún campo sin dato,1,6a2e868adc9d137d9daf10d3772061d026c271734d71c194c2d7867ba8cc6634,26/06/2023 01:17:56,ESCANER
470,"Distrito Central",0,"Guatemala",1,38,400,7,18,53,2,6,6,2,5,6,--,2,--,--,--,--,1,4,43,2,2,2,13,2,49,225,8,--,233,--,233,--,397,164,225,233,233,Algún campo sin dato,1,6910c4d16a086a07950dfc53d7bfae0381ea7c425a08f4d341c022c06371e7c8,26/06/2023 06:40:46,ESCANER
471,"Distrito Central",0,"Guatemala",1,38,400,8,15,26,0,5,2,2,5,1,0,8,2,2,1,1,0,2,41,2,2,2,8,2,64,198,19,1,218,0,18,--,400,182,201,221,221,Sumas Asentadas sin cuadrar,1,88aa1155298945d81132168e85103eca0115b36d6e8240a030c298723e6ba005,26/06/2023 06:44:16,ESCANER
472,"Distrito Central",0,"Guatemala",1,38,400,9,24,65,1,9,5,0,2,5,1,3,2,2,0,1,1,0,26,2,1,6,8,0,50,223,17,1,241,0,241,--,400,159,223,241,241,Algún campo sin dato,1,bb856bba9975a8ab55e17b1f6280b4c65173ae7c477d09910746df231c3ada23,26/06/2023 03:59:21,ESCANER
473,"Distrito Central",0,"Guatemala",1,38,400,9,23,56,1,3,8,0,4,9,2,2,2,1,0,2,0,3,49,1,2,6,9,1,51,244,14,0,258,0,258,--,400,142,244,258,258,Algún campo sin dato,1,320927e3af8c2c954401450f0b3a9d95548963218209287f6ebf7770a2e0e5b0,26/06/2023 00:12:06,ESCANER
474,"Distrito Central",0,"Guatemala",1,38,400,4,18,58,2,4,13,1,2,4,0,4,1,3,1,1,0,3,25,1,3,0,17,2,65,232,21,2,255,0,255,--,400,145,232,255,255,Algún campo sin dato,1,795cfceb78578a89fb44f586eb57b41df4a77b41b61be28c121a56fb8b889e02,26/06/2023 03:02:21,ESCANER
475,"Distrito Central",0,"Guatemala",1,38,400,14,21,54,1,4,7,7,0,7,2,1,1,2,0,0,0,2,37,2,4,4,12,0,56,238,13,1,252,2,254,--,400,146,238,252,254,Algún campo sin dato,1,513d1cf1f81d2adee561e8840a3dce0c589ce156ed3f925f0dc84107a4e41782,26/06/2023 06:37:05,ESCANER
476,"Distrito Central",0,"Guatemala",1,38,400,10,17,58,1,6,6,0,5,7,0,2,0,2,0,0,0,3,0,2,2,3,9,0,44,210,17,0,227,0,227,--,400,173,177,194,194,Sumas Asentadas sin cuadrar,1,dc3337a527d1b8ac258931e36771d55f02d3992428b0262a46360ac455d743b1,25/06/2023 23:35:44,ESCANER
477,"Distrito Central",0,"Guatemala",1,38,400,11,19,51,2,8,8,1,6,12,2,2,2,3,0,0,0,1,49,0,0,5,5,1,47,235,14,1,250,149,399,--,399,149,235,250,399,Algún campo sin dato,1,368c94186e8f060286058ef1a53b367912fc2e1c3fdd8c99b893b33b6842bef0,26/06/2023 00:26:53,ESCANER
478,"Distrito Central",0,"Guatemala",1,38,400,7,15,48,0,5,5,1,6,8,1,2,3,5,0,0,0,1,37,1,1,4,14,1,63,228,16,0,244,0,244,--,400,156,228,244,244,Algún campo sin dato,1,0df5f1b2650a33285a9986e538ce821a5bae4106b8e12475c806693100d21ef0,25/06/2023 23:55:16,ESCANER
479,"Distrito Central",0,"Guatemala",1,38,400,5,20,61,2,3,2,1,9,8,1,3,0,3,1,0,0,0,40,1,2,4,14,0,66,245,22,0,267,0,267,--,400,133,246,268,268,Sumas Asentadas sin cuadrar,1,2bdd88e0731e51fca9e26657d221fdb6212b9488acc8e2eb9bdbba40cebcffe6,26/06/2023 09:20:10,ESCANER
480,"Distrito Central",0,"Guatemala",1,38,400,9,20,48,0,3,7,0,5,9,2,1,0,0,2,3,0,1,34,2,4,4,14,0,55,223,11,0,234,0,234,--,--,--,223,234,234,Algún campo sin dato,1,a0dcd77eb82384180400f1fd2242dbb19f37bc01fecdf16cdb6cefecca47635a,25/06/2023 21:35:56,ESCANER
481,"Distrito Central",0,"Guatemala",1,38,400,13,16,50,1,6,4,1,2,3,3,1,2,0,2,2,0,3,30,0,2,5,16,2,60,224,20,1,245,0,245,--,400,245,224,245,245,Algún campo sin dato,1,17dd8bf808f52b9d5996a10d5c94a575e549db9e14d6d3993b101fd8de537619,26/06/2023 06:42:05,ESCANER
482,"Distrito Central",0,"Guatemala",1,38,400,6,9,68,1,9,6,3,2,5,1,4,0,4,0,3,1,5,26,0,3,6,8,0,44,214,21,3,238,--,238,--,400,162,214,238,238,Algún campo sin dato,1,3f8a048fdf0e40c1d4d96492177f3fa22934231d5f00a815b41c9433d230a537,26/06/2023 01:10:36,ESCANER
483,"Distrito Central",0,"Guatemala",1,38,400,10,26,48,1,2,5,0,6,3,1,3,1,1,1,1,0,2,40,1,2,3,4,0,53,214,7,2,223,0,223,--,400,177,214,223,223,Algún campo sin dato,1,9572a01dd297784c581a3a114d065b5566085cd3f2e9c45c9029d4ab23dcdb26,25/06/2023 23:59:41,ESCANER
484,"Distrito Central",0,"Guatemala",1,38,400,7,17,58,0,2,3,0,9,9,0,4,0,5,0,0,0,4,31,0,1,5,10,0,55,220,17,0,237,0,237,--,400,163,220,237,237,Algún campo sin dato,1,16c390c91f1a15f04164ddb5bdf821749384b6026c5ced61566a283b3105177b,26/06/2023 00:27:18,ESCANER
485,"Distrito Central",0,"Guatemala",1,38,400,12,17,56,0,3,6,1,5,5,0,0,0,1,0,4,2,3,37,2,1,2,10,1,42,210,16,3,229,0,229,--,400,171,210,229,229,Algún campo sin dato,1,a91172b72b0491d23783149a274653393c02160b4acb52247e7d9353a446be14,25/06/2023 21:35:12,ESCANER
486,"Distrito Central",0,"Guatemala",1,38,400,10,23,57,0,4,9,0,5,3,1,4,3,1,0,0,1,1,36,2,2,6,5,1,46,220,8,0,228,0,228,--,397,169,220,228,228,Algún campo sin dato,1,7c656a98147e3bf4dcaa5ddfb0818184b991546839d8eb34b12a9a4e95c83b14,26/06/2023 06:35:44,ESCANER
487,"Distrito Central",0,"Guatemala",1,38,400,6,18,40,0,5,4,0,2,2,2,4,0,2,1,0,0,6,39,0,3,6,10,1,61,212,7,0,219,0,219,--,400,181,212,219,219,Algún campo sin dato,1,79b9b9c22e6c628031ca1f4a82b07a13c10ce8eaa9fdb4c6e21811821d05e245,26/06/2023 01:53:59,ESCANER
488,"Distrito Central",0,"Guatemala",1,38,400,2,14,39,0,4,4,0,7,5,2,5,0,2,1,0,0,3,53,1,2,9,13,0,43,209,7,2,218,0,218,--,400,182,209,218,218,Algún campo sin dato,1,910c9dc9e77d43c60950ce975493d0b6be312a611e19a4302083ae7efcfcdc59,26/06/2023 02:05:02,ESCANER
489,"Distrito Central",0,"Guatemala",1,38,400,4,10,28,1,4,5,1,5,6,2,4,0,5,0,0,1,3,70,0,1,1,11,0,52,214,13,0,227,0,227,--,429,202,214,227,227,Algún campo sin dato,1,59ee30f5e25352f1fc5fedb43f5a7cacf1b9889becc1cbf6af26b5b9a6cbbe70,25/06/2023 23:52:24,ESCANER
490,"Distrito Central",0,"Guatemala",1,38,400,7,12,37,0,4,5,1,3,5,1,3,2,4,1,1,1,5,67,0,1,5,17,0,44,226,10,0,236,0,236,--,400,164,226,236,236,Algún campo sin dato,1,4a8ace0145d3de4480fc9e59311329b4e6de070d49076626f4bb5be3a613e44c,25/06/2023 22:34:57,ESCANER
491,"Distrito Central",0,"Guatemala",1,38,400,2,10,20,0,1,2,2,2,2,0,1,2,0,1,1,0,1,76,2,1,0,14,0,32,168,10,0,178,0,178,--,400,222,172,182,182,Sumas Asentadas sin cuadrar,1,f394f120b9c7295b48a91872bf2c0017c6b385f756c5420c4b847973d1b80bfe,26/06/2023 00:58:23,ESCANER
492,"Distrito Central",0,"Guatemala",1,38,400,8,11,36,2,4,4,1,5,6,1,2,1,4,1,1,1,0,48,1,2,4,10,0,30,183,3,2,188,0,188,--,398,210,183,188,188,Algún campo sin dato,1,8c0d0efa5aed0aad276cf6a81ccb2886601b63a52cc136af35f65b53e1bdc4e8,25/06/2023 22:15:32,ESCANER
493,"Distrito Central",0,"Guatemala",1,38,229,7,5,16,--,2,4,1,1,2,--,3,--,1,--,--,--,--,42,--,--,--,5,--,14,103,7,0,110,0,110,--,229,119,103,110,110,Algún campo sin dato,1,698d0f27e74ef41f12ab0d808b8b3e41c54471f51960afdac34dcd55c4e2cf5e,25/06/2023 22:33:17,ESCANER
494,"Distrito Central",0,"Guatemala",1,38,229,1,9,15,0,4,4,0,2,2,0,2,1,1,0,0,0,0,18,0,0,2,4,1,15,81,4,1,86,1,87,--,229,142,81,86,87,Algún campo sin dato,1,8df8255c9bc24dbc862595eeeb68f1efeacee4cef509e314d2b7e570f2dc2515,25/06/2023 23:27:01,ESCANER
495,"Distrito Central",0,"Guatemala",1,39,400,16,16,65,1,6,3,2,9,10,0,2,0,4,0,1,0,4,0,0,4,5,14,2,58,253,19,0,272,0,272,--,400,128,222,241,241,Sumas Asentadas sin cuadrar,1,dc820d55d5ef0e69d0eef79551cf58180dba24f31ef628e69d98d6ca4998c83e,25/06/2023 23:25:39,ESCANER
496,"Distrito Central",0,"Guatemala",1,39,400,16,21,56,1,6,6,1,1,6,2,3,1,1,1,2,0,5,27,1,2,9,8,1,52,229,17,1,247,0,247,--,400,153,229,247,247,Algún campo sin dato,1,a1185cc2672302416674117fae32ec169fe890f02c2e3ddfe56f42bd950ddd83,26/06/2023 01:12:02,ESCANER
497,"Distrito Central",0,"Guatemala",1,39,400,6,15,66,2,6,3,1,3,7,0,3,1,1,2,2,0,3,39,2,5,4,9,2,58,240,14,1,255,0,255,--,400,145,240,255,255,Algún campo sin dato,1,81413021592a2211be7c3772405e0d03fb924e76c863a993279eb72b2ee4c932,26/06/2023 01:59:05,ESCANER
498,"Distrito Central",0,"Guatemala",1,39,400,11,12,73,0,3,3,1,7,6,0,5,1,2,0,2,1,5,33,1,1,3,10,3,52,235,14,1,250,0,250,--,400,150,235,250,250,Algún campo sin dato,1,bfbf830ee6c921c1ae3cde603775f71a441184944687d17a4879509bc623a274,26/06/2023 02:09:19,ESCANER
499,"Distrito Central",0,"Guatemala",1,39,400,8,21,59,0,2,4,0,9,7,2,4,1,3,0,0,1,0,36,0,3,3,9,0,41,214,13,2,229,0,229,1,400,171,213,228,228,Sumas Asentadas sin cuadrar,1,04af9aaf3a46a75d8391be159c7bdd1fb1a992ccd39bae96be24afed06429534,26/06/2023 03:09:33,ESCANER
500,"Distrito Central",0,"Guatemala",1,39,258,4,11,21,1,5,1,1,4,2,1,0,0,1,0,1,1,4,45,0,1,1,5,0,29,139,6,0,145,0,145,--,255,110,139,145,145,Algún campo sin dato,1,868e1c22defc234d037eba3adcce5990239e82306482497e1b1167077000b685,26/06/2023 01:44:48,ESCANER
501,"Distrito Central",0,"Guatemala",1,39,257,5,7,17,0,2,1,0,3,0,1,0,1,3,0,0,0,1,29,0,2,1,5,1,19,98,5,1,104,0,104,--,254,150,98,104,104,Algún campo sin dato,1,7bb1823b6167840ad759526eb6376b724781778155d6ebef6c543ef55a7eee75,25/06/2023 22:45:55,ESCANER
502,"Distrito Central",0,"Guatemala",1,40,400,8,19,58,1,3,6,4,7,9,2,5,0,2,0,0,1,5,45,4,1,5,9,3,60,257,14,4,277,124,397,--,--,--,257,275,399,Sumas Asentadas sin cuadrar,1,03b324e7a109e749fa74f663fc0f2d3c7154e8e160cf48a1cb7d8af9e114f7fd,26/06/2023 00:12:52,ESCANER
503,"Distrito Central",0,"Guatemala",1,40,400,13,18,71,0,3,7,0,5,9,0,4,1,3,0,1,1,4,54,3,4,6,12,1,50,270,14,5,289,0,289,--,400,111,270,289,289,Algún campo sin dato,1,57198c701436403cf615b6c4f2d329043fab6bf278026f7b650ecc5da1c83b3d,26/06/2023 00:19:33,ESCANER
504,"Distrito Central",0,"Guatemala",1,40,400,8,15,58,0,3,7,4,6,7,1,9,0,1,0,3,1,2,39,2,4,9,6,1,72,258,22,2,282,1,283,--,400,117,258,282,283,Algún campo sin dato,1,15770895f61f652b849956e43dca900929e215b698eeb6f1548a642dec20cac0,26/06/2023 01:31:56,ESCANER
505,"Distrito Central",0,"Guatemala",1,40,400,11,17,58,0,3,7,2,6,5,0,10,2,3,0,0,1,6,48,3,1,5,12,1,48,249,26,1,276,0,276,--,400,124,249,276,276,Algún campo sin dato,1,c7415a26f0be934a5b0ad99661ce86b7465ee295f483e4e8deb0c21f751a545a,26/06/2023 01:11:01,ESCANER
506,"Distrito Central",0,"Guatemala",1,40,400,9,16,60,0,4,8,2,2,8,2,3,0,2,1,2,1,4,33,1,4,5,8,2,69,246,29,1,276,0,276,--,397,121,246,276,276,Algún campo sin dato,1,7095cca44de3f7b693365dc8dafb2779e9116563fc5fe2000c94ec3bb4741632,26/06/2023 00:34:58,ESCANER
507,"Distrito Central",0,"Guatemala",1,40,400,8,19,60,0,7,8,2,1,11,0,3,1,3,0,2,2,2,50,5,6,4,7,0,61,262,19,0,281,0,281,--,400,119,262,281,281,Algún campo sin dato,1,50747166da2992533d86d64de6c33569da5fdd42db0ee6314d93e9dd17726a0b,26/06/2023 00:26:32,ESCANER
508,"Distrito Central",0,"Guatemala",1,40,400,12,18,34,0,5,13,0,4,2,0,5,0,5,0,2,3,2,67,4,2,1,16,0,67,262,14,1,277,0,277,--,400,123,262,277,277,Algún campo sin dato,1,101ce45331bcccc3361adb48b883d7dc0c169af42dc50e655a57df045a65bdf2,26/06/2023 00:55:31,ESCANER
509,"Distrito Central",0,"Guatemala",1,40,400,17,20,60,2,7,3,1,6,6,0,1,1,2,0,2,0,5,53,1,6,10,10,0,64,277,17,1,295,0,295,--,400,105,277,295,295,Algún campo sin dato,1,b7d7814b767da2660b8f71be70870ef63fbd64eb0b7ba3966301011d45fd213c,26/06/2023 01:41:41,ESCANER
510,"Distrito Central",0,"Guatemala",1,41,400,10,18,67,2,4,9,1,4,13,0,5,2,2,1,1,0,4,33,1,4,5,15,1,61,263,15,1,279,0,279,--,400,121,263,279,279,Algún campo sin dato,1,4842ef003044ea640286084b57d2a47ed3fed28172f3d092b9ea42bb70ddb61d,26/06/2023 02:12:17,ESCANER
511,"Distrito Central",0,"Guatemala",1,41,400,6,23,64,0,7,5,4,2,11,0,3,0,3,0,1,0,1,54,1,4,2,8,1,58,258,25,0,283,0,283,--,400,117,258,283,283,Algún campo sin dato,1,489da753081ee79e96d95df0145542802367064b8a80c677c804a953dd3fce0f,26/06/2023 02:30:38,ESCANER
512,"Distrito Central",0,"Guatemala",1,41,400,12,12,67,1,6,9,0,4,9,0,3,1,1,3,1,0,6,46,0,4,6,13,1,54,259,15,3,277,0,277,--,400,123,259,277,277,Algún campo sin dato,1,fe02c7ca63d9eccaf162487f1f3e7bad44b23257df2a76544e8405df44f93e56,26/06/2023 05:00:20,ESCANER
513,"Distrito Central",0,"Guatemala",1,41,400,13,21,59,0,4,3,2,4,4,2,6,0,2,1,0,2,3,48,2,6,7,8,0,55,252,19,1,272,0,272,--,400,128,252,272,272,Algún campo sin dato,1,d4c294723a9927aba606ba1893f792c08cea6768f20e7aff6844e41b377e3d62,25/06/2023 23:43:49,ESCANER
514,"Distrito Central",0,"Guatemala",1,41,400,12,14,59,0,3,9,0,6,17,0,2,2,3,1,0,1,4,48,1,0,4,19,0,65,270,19,1,290,0,290,--,403,113,270,290,290,Algún campo sin dato,1,92427cbaf7a02923f757e458766a232f4a4733cf1f28341be392ee1295330145,26/06/2023 00:56:51,ESCANER
515,"Distrito Central",0,"Guatemala",1,41,400,10,23,60,3,3,9,4,1,5,0,13,0,4,0,0,2,2,36,1,6,3,13,1,56,255,21,6,282,0,282,--,400,118,255,282,282,Algún campo sin dato,1,6f78d11f30896f9d6428d4f050ab2b4670bb8a54a632efc4b3b81d2b22e174d9,26/06/2023 02:20:45,ESCANER
